distance,std,mean
0,0.2521571780725514,2.0521931818181818
1,0.5272581498560432,1.6628761363636364
2,0.674141215633418,0.9649545454545454
3,0.798378471362391,0.7373694117647059
4,0.8285763242313537,0.5859454545454545
5,0.8671342812005164,0.6040076923076922
6,0.9657301179491349,0.5119963636363637
7,1.209948117975874,0.821384375
8,1.2056868521071298,0.7147159999999999
9,1.150935757934705,0.6087411764705882
10,1.258227041157752,0.7960461538461538
11,1.3093073414159542,1.0
12,1.3564659966250538,1.4
13,1.247219128924647,1.3333333333333333
14,1.5,1.5
15,1.5,1.5
16,0.0,0.0
