distance,mean,std
0,0.2713448138648749,2.043325
1,0.5395680471534978,1.6190647727272724
2,0.6754059748687672,0.9591954545454545
3,0.6375527929605238,0.61734
4,0.5396310023631133,0.3743623376623377
5,0.5126641761432055,0.32551384615384615
6,0.4016344226876019,0.15898181818181817
7,0.3574726224083243,0.129171875
8,0.32237152985957057,0.09394400000000001
9,0.3643764705882353,0.09109411764705883
10,0.26646935501059654,0.07692307692307693
11,0.3499271061118826,0.14285714285714285
12,0.4,0.2
13,0.6357361367387853,0.44953333333333334
14,0.32505,0.32505
15,0.0,0.0
16,0.0,0.0
