distance,std,mean
0,0.6301649980298382,0.5203679487179488
1,0.8020513180698341,1.2163148148148146
2,0.7468412710916758,1.3972487804878047
3,0.7456758672206683,1.5536506329113924
4,0.7287081942211259,1.6293438356164383
5,0.7219340774439298,1.696948387096774
6,0.7061231734203997,1.7942433962264148
7,0.701544798609152,1.6857233333333335
8,0.725043455760426,1.715982608695652
9,0.6592624752031148,1.60184375
10,0.6449503680301472,1.7181333333333333
11,0.740050184453868,1.384985714285714
12,0.5237352422741858,1.6469999999999998
13,0.564543971321593,1.4116666666666668
14,0.21699999999999997,1.4687000000000001
15,0.0583499999999999,2.05835
16,0.0,2.4132
