distance,std,mean
0,0.20902571126829292,2.0385213483146067
1,0.6115947303588809,1.5588707865168538
2,0.6763677323897133,1.0039955056179777
3,0.6809074505537285,0.7615511627906978
4,0.6460477011679695,0.5823576923076924
5,0.6445412367966544,0.5436738461538462
6,0.6601519241372767,0.5258818181818182
7,0.6677317277720428,0.5495187500000001
8,0.7207750100440498,0.581836
9,0.7268528667931343,0.5618058823529412
10,0.5726901133398059,0.3679153846153846
11,0.4517539514526256,0.2857142857142857
12,0.26004,0.13002
13,0.4068692418947394,0.2877
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
