distance,mean,std
0,0.3369294103873985,0.08339600000000001
1,0.6907517287390601,0.44946200000000003
2,0.8288086169918844,0.73344
3,0.8695100614382467,0.8752847826086957
4,0.841511210894233,0.9845268292682927
5,0.8146657398052632,1.188305882352941
6,0.7372463040527949,1.4930222222222223
7,0.6928826982974824,1.3603200000000002
8,0.5935663091060552,1.5070818181818182
9,0.6197784414959994,1.7120111111111112
10,0.7753407519278217,1.51698
11,1.09045,1.09045
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,1.5849
16,0.0,2.0
