distance,mean,std
0,0.26995352818175533,2.1631866666666664
1,0.3643976229679488,1.9105244444444442
2,0.40870076279731987,1.7458066666666665
3,0.666332904503966,1.4616244444444444
4,0.7294533445858098,1.2865951219512195
5,0.7155876537874736,1.1380657142857142
6,0.7334395057109042,0.8366793103448276
7,0.7109698196438752,0.6547666666666667
8,0.7184308321303837,0.5201666666666668
9,0.7152030872416589,0.6289999999999999
10,0.728152068404823,0.4727166666666667
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
