distance,mean,std
0,0.26995352818175533,2.1631866666666664
1,0.4042370137541698,2.096673333333333
2,0.5380889529197946,2.0517088888888884
3,0.7353576441701726,1.830677777777778
4,0.6756189511129146,1.7685146341463411
5,0.7066358180816469,1.586134285714286
6,0.8673091166389258,1.428041379310345
7,0.8579074932324839,1.3763833333333333
8,1.0546465220105212,1.2128833333333333
9,0.8714122469302344,1.54783
10,1.0704111172815798,1.4519
11,0.5272499999999999,1.8188499999999999
12,0.0,2.7175
13,0.0,2.6133
14,0.0,2.1894
15,0.0,1.9003
16,0.0,0.5436
