distance,mean,std
0,0.8057588282382953,1.0235777777777777
1,0.7710173895782758,1.6809088888888886
2,0.6538100555292118,1.7099199999999999
3,0.7531786840738457,1.9156088888888891
4,0.48599274299754924,2.099890243902439
5,0.5999659554559096,2.022817142857143
6,0.4350750690074292,2.1142862068965522
7,0.3749621149587262,2.024488888888889
8,0.47328924112416587,2.050641666666666
9,0.3804020141902511,2.02966
10,0.24219872981133125,2.2250833333333335
11,0.14774999999999994,2.03315
12,0.0,2.9181
13,0.0,1.4256
14,0.0,2.3569
15,0.0,2.1167
16,0.0,2.3208
