distance,mean,std
0,0.6450954010258415,0.5730044444444444
1,0.798860632527645,1.2104155555555556
2,0.7144541932149809,1.2698155555555557
3,0.7284275600375251,1.4987666666666664
4,0.6691852130490288,1.6211878048780488
5,0.7138948319276875,1.659025714285714
6,0.5386501567505756,1.8508965517241383
7,0.5708046385055978,1.7903722222222223
8,0.6346078754282487,1.6867666666666665
9,0.6623291723153979,1.73555
10,0.8255506170967888,1.7909166666666667
11,1.09045,1.09045
12,0.0,0.0
13,0.0,0.0
14,0.0,1.5306
15,0.0,2.0
16,0.0,2.3208
