distance,mean,std
0,0.6622734216699033,0.5793170454545454
1,0.77524675934305,1.2772590909090908
2,0.7110872824189555,1.4301795454545454
3,0.7238899174717804,1.580549411764706
4,0.6822106665913868,1.695825974025974
5,0.6865920857661312,1.713176923076923
6,0.6738826159890395,1.8176636363636363
7,0.734867885813232,1.613309375
8,0.8014772974950695,1.5913600000000003
9,0.7237399143329155,1.552941176470588
10,0.7926410251765292,1.6577461538461538
11,0.7370602489703572,1.3438285714285712
12,0.7970051984774001,1.39596
13,0.8164966149484161,0.9998333333333335
14,0.19225000000000003,1.05535
15,0.10254999999999992,2.10255
16,0.0,2.4882
