distance,mean,std
0,0.8121242670909427,0.3501901960784314
1,0.8580744749584172,1.8461666666666667
2,0.7542220441386391,1.9151431372549022
3,0.7644441238139517,1.8121829787234043
4,0.6169863820957557,1.849204761904762
5,0.7293474034045375,1.7648499999999998
6,0.6152197078189944,1.9718333333333333
7,0.47143143128136883,1.8487399999999998
8,0.3683219201452774,2.0791636363636368
9,0.15546420095243077,1.9543333333333335
10,0.7753407519278217,1.51698
11,0.4095500000000001,2.5904499999999997
12,0.0,2.9965
13,0.0,0.0
14,0.0,2.3219
15,0.0,1.5849
16,0.0,2.0
