distance,mean,std
0,0.24980596393296398,0.0675625
1,0.549845935802515,0.3309670454545454
2,0.7194096133825437,0.6090647727272728
3,0.8222443797870251,0.8364729411764704
4,0.8278331853455252,0.9974506493506492
5,0.8486300389486087,1.1728769230769232
6,0.8540661919612785,1.3803581818181818
7,0.7862340934835244,1.210034375
8,0.7748497441543102,1.353672
9,0.7344067961385794,1.4167882352941177
10,0.6947853180838324,1.4870846153846153
11,0.7873228668943217,1.133357142857143
12,0.7403229716819545,1.43246
13,0.8564736436237965,1.1828666666666667
14,0.7887,0.7887
15,0.0,2.0
16,0.0,2.0
