distance,mean,std
0,0.2533070538636875,2.034413725490196
1,0.5007946105625276,1.9156803921568626
2,0.7606413251719895,1.6759588235294118
3,0.8471777036367033,1.7197127659574467
4,0.9746764299213445,1.439107142857143
5,1.046149419584452,1.6004117647058824
6,1.1776900276651758,0.9920851851851851
7,0.9152762966934568,1.2715933333333334
8,1.2126020791996601,1.3719545454545454
9,1.31234845135649,1.4421666666666666
10,1.469693845669907,1.2
11,1.4039,1.4039
12,0.0,2.8078
13,0.0,2.5852
14,0.0,2.5645
15,0.0,2.3219
16,0.0,0.0
