distance,mean,std
0,0.22942484013882908,0.056299999999999996
1,0.5089758132666465,0.24120568181818183
2,0.7180577787446512,0.5246954545454545
3,0.8299030882931318,0.7775294117647058
4,0.841634319108181,0.9458792207792206
5,0.8759482584135615,1.1207676923076924
6,0.8911991651442001,1.3374309090909091
7,0.8106018485273381,1.16050625
8,0.8159994541566802,1.315496
9,0.7524367375952911,1.3791941176470588
10,0.7063910464696905,1.4419846153846154
11,0.7873228668943217,1.133357142857143
12,0.7403229716819545,1.43246
13,0.8564736436237965,1.1828666666666667
14,0.7887,0.7887
15,0.0,2.0
16,0.0,2.0
