distance,std,mean
0,0.5386693447274706,0.3324494382022472
1,0.6369373297547386,0.5685460674157303
2,0.7616948636859016,0.9241808988764046
3,0.7596615166095153,1.1934081395348837
4,0.7113389499315201,1.3674897435897435
5,0.69455567078878,1.4749646153846154
6,0.6887857191145866,1.5410527272727275
7,0.6083633182741086,1.300871875
8,0.6813719516857147,1.4273839999999998
9,0.7501022073379648,1.3433823529411766
10,0.6280940284071407,1.4883615384615383
11,0.6471361756198755,1.2779857142857143
12,0.8,1.4
13,0.6616687136828117,1.2618
14,0.1805,1.1804999999999999
15,0.0,2.0
16,0.0,2.0
