distance,std,mean
0,0.4133746499417848,2.1116696629213485
1,0.43385504232146377,1.6684977528089886
2,0.5446292187960707,1.402585393258427
3,0.5947427167335685,1.2345860465116278
4,0.5849069253899847,0.9552935897435899
5,0.5895583577098726,0.8243907692307693
6,0.6177387786847358,0.6340800000000002
7,0.5558327215675902,0.712353125
8,0.5794042916789622,0.576172
9,0.45930836487967747,0.6476352941176471
10,0.5069935504882546,0.545723076923077
11,0.5970120253121766,0.6539142857142857
12,0.5821721305593389,0.68532
13,0.4714045207910317,0.6666666666666666
14,0.0044500000000000095,0.9955499999999999
15,0.0044500000000000095,0.9955499999999999
16,0.0,0.9852
