distance,std,mean
0,0.48147603230395564,0.2952104166666667
1,0.6993060288644543,0.7261722222222221
2,0.6915376509117208,0.8930982456140352
3,0.7347456156582909,1.1617907407407408
4,0.7315555334187797,1.2370224489795918
5,0.7372783812767787,1.122667441860465
6,0.7116461846980497,1.3688868421052631
7,0.6276677418029383,1.32837
8,0.7954294047444428,1.1063388888888888
9,0.775724247732859,0.8768615384615384
10,0.6179976465255439,1.3622333333333334
11,0.7162044169613868,1.055675
12,0.82915619758885,0.75
13,0.4926,0.4926
14,0.45915,0.45915
15,0.5,1.5
16,0.0,0.8113
