dialogue_id,intra_dialogue_id,entropy,cross_entropy
41,1,-0.0,36.0437
41,2,-0.0,36.0437
41,3,-1.0,36.0437
42,0,2.0,1.3863
42,1,1.5774,1.0297
42,2,1.5566,0.8472
42,3,-0.0,0.0
43,0,1.5849,1.0987
43,1,-1.0,36.0437
43,2,-1.0,36.0437
43,3,-1.0,36.0437
43,4,-1.0,36.0437
44,0,2.0,1.3863
44,1,2.0,1.3863
44,2,1.9808,1.2994
44,3,1.3789,1.9456
44,4,1.5,0.6931
44,5,1.0,0.6931
44,6,-0.0,0.0
45,0,0.7219,36.0437
45,1,0.9852,36.0437
45,2,-0.0,36.0437
45,3,-0.0,36.0437
46,0,1.9938,1.3348
46,1,-0.0,36.0437
46,2,-1.0,36.0437
46,3,-1.0,36.0437
46,4,-1.0,36.0437
47,0,1.4949,1.7048
47,1,-0.0,0.0
48,0,1.8232,1.1632
48,1,1.5,0.6931
48,2,0.8631,0.3365
48,3,-0.0,0.0
49,0,2.1809,1.4351
49,1,2.0,1.3863
49,2,-0.0,0.0
50,0,2.0,1.3863
50,1,-0.0,0.0
51,0,1.5849,1.0987
51,1,0.9911,0.811
51,2,0.8631,0.3365
52,0,1.5849,36.0437
52,1,0.8113,36.0437
52,2,-0.0,36.0437
53,0,-1.0,36.0437
53,1,-1.0,36.0437
53,2,-1.0,36.0437
53,3,-1.0,36.0437
54,0,2.0,1.3863
54,1,1.4834,36.0437
54,2,1.571,36.0437
54,3,1.5219,36.0437
54,4,-1.0,36.0437
55,0,0.9183,36.0437
55,1,0.9911,36.0437
55,2,0.9911,36.0437
55,3,-1.0,36.0437
56,0,1.5,0.6931
56,1,1.5849,1.0987
56,2,-0.0,36.0437
56,3,-0.0,36.0437
56,4,-1.0,36.0437
57,0,0.6501,36.0437
57,1,-0.0,36.0437
57,2,-1.0,36.0437
58,0,-1.0,36.0437
58,1,-1.0,36.0437
58,2,-1.0,36.0437
58,3,-1.0,36.0437
58,4,-1.0,36.0437
59,0,-0.0,36.0437
59,1,-1.0,36.0437
59,2,-1.0,36.0437
59,3,-1.0,36.0437
59,4,-1.0,36.0437
60,0,2.0,1.3863
60,1,0.8631,36.0437
60,2,-1.0,36.0437
60,3,-1.0,36.0437
61,0,-0.0,36.0437
61,1,-1.0,36.0437
61,2,-1.0,36.0437
61,3,-1.0,36.0437
61,4,-1.0,36.0437
61,5,-1.0,36.0437
61,6,-1.0,36.0437
62,0,2.0,1.3863
62,1,-0.0,36.0437
62,2,-0.0,36.0437
62,3,-0.0,36.0437
62,4,-1.0,36.0437
63,0,2.0,1.3863
63,1,1.5849,1.0987
63,2,1.5849,1.0987
63,3,1.5774,1.0297
63,4,0.6501,0.1824
63,5,1.0,0.6931
63,6,0.9544,0.47
64,0,1.5849,1.0987
64,1,-0.0,0.0
65,0,1.9714,36.0437
65,1,-1.0,36.0437
65,2,-1.0,36.0437
65,3,-1.0,36.0437
65,4,-1.0,36.0437
65,5,-1.0,36.0437
66,0,1.5849,1.0987
66,1,-0.0,0.0
66,2,-0.0,0.0
66,3,-0.0,0.0
66,4,-0.0,0.0
66,5,-0.0,0.0
66,6,-0.0,0.0
67,0,2.6566,1.6094
67,1,1.9714,1.2238
67,2,1.9911,1.2809
67,3,1.5774,1.0297
67,4,-0.0,0.0
68,0,-0.0,36.0437
68,1,-0.0,36.0437
68,2,-0.0,36.0437
68,3,-1.0,36.0437
69,0,1.5,1.3863
69,1,1.0,0.6931
69,2,-0.0,0.0
70,0,1.75,2.0794
70,1,1.9911,1.2809
70,2,2.0,1.3863
70,3,2.0,1.3863
70,4,0.6501,0.1824
71,0,1.6855,36.0437
71,1,-1.0,36.0437
71,2,-1.0,36.0437
71,3,-1.0,36.0437
72,0,1.5849,1.0987
72,1,0.8631,0.3365
72,2,1.0,0.6931
72,3,-0.0,0.0
73,0,-0.0,36.0437
73,1,-1.0,36.0437
73,2,-1.0,36.0437
73,3,-1.0,36.0437
73,4,-1.0,36.0437
74,0,0.9183,36.0437
74,1,-1.0,36.0437
74,2,-1.0,36.0437
74,3,-1.0,36.0437
74,4,-1.0,36.0437
74,5,-1.0,36.0437
74,6,-1.0,36.0437
74,7,-1.0,36.0437
74,8,-1.0,36.0437
74,9,-1.0,36.0437
74,10,-1.0,36.0437
74,11,-1.0,36.0437
75,0,1.9219,36.0437
75,1,-0.0,36.0437
75,2,-1.0,36.0437
75,3,-1.0,36.0437
75,4,-1.0,36.0437
75,5,-1.0,36.0437
76,0,-0.0,36.0437
76,1,-1.0,36.0437
76,2,-1.0,36.0437
76,3,-1.0,36.0437
76,4,-1.0,36.0437
76,5,-1.0,36.0437
77,0,1.5849,1.0987
77,1,1.5849,1.0987
77,2,1.5849,1.0987
77,3,0.9911,0.5877
77,4,-0.0,0.0
77,5,-0.0,0.0
78,0,1.9938,1.3348
78,1,1.5849,1.0987
78,2,1.5486,0.9556
79,0,-0.0,36.0437
79,1,-1.0,36.0437
79,2,-1.0,36.0437
79,3,-1.0,36.0437
79,4,-1.0,36.0437
79,5,-1.0,36.0437
79,6,-1.0,36.0437
79,7,-1.0,36.0437
79,8,-1.0,36.0437
80,0,2.0,1.3863
80,1,1.9592,1.0297
80,2,1.4949,0.7886
80,3,1.2988,0.47
81,0,-0.0,36.0437
81,1,-0.0,36.0437
81,2,-0.0,36.0437
81,3,-1.0,36.0437
81,4,-1.0,36.0437
81,5,-1.0,36.0437
81,6,-1.0,36.0437
82,0,1.9219,1.6094
82,1,-0.0,36.0437
82,2,-0.0,36.0437
82,3,-0.0,36.0437
82,4,-0.0,36.0437
83,0,-0.0,36.0437
83,1,-1.0,36.0437
83,2,-1.0,36.0437
83,3,-1.0,36.0437
83,4,-1.0,36.0437
84,0,1.8232,1.1632
84,1,1.3486,0.7886
84,2,0.7219,0.2231
84,3,-0.0,0.0
85,0,2.0,1.3863
85,1,0.9183,1.0987
85,2,0.8113,0.2877
85,3,1.0,0.6931
85,4,-0.0,0.0
86,0,1.9911,1.5042
