dialogue_id,intra_dialogue_id,entropy,cross_entropy
30,1,1.5849,1.0987
30,2,1.5849,1.0987
30,3,-0.0,0.0
31,0,1.921,2.1405
31,1,0.8113,36.0437
31,2,0.8631,36.0437
31,3,0.9183,36.0437
31,4,-0.0,36.0437
32,0,2.0,1.3863
32,1,0.9183,1.0987
32,2,-0.0,0.0
32,3,-0.0,0.0
32,4,-0.0,0.0
32,5,-0.0,0.0
33,0,-1.0,36.0437
33,1,-1.0,36.0437
33,2,-1.0,36.0437
33,3,-1.0,36.0437
33,4,-1.0,36.0437
33,5,-1.0,36.0437
33,6,-1.0,36.0437
33,7,-1.0,36.0437
34,0,1.5488,36.0437
34,1,1.8232,36.0437
34,2,1.4355,36.0437
34,3,1.0,36.0437
34,4,-0.0,36.0437
34,5,-0.0,36.0437
34,6,-0.0,36.0437
34,7,-0.0,36.0437
34,8,-0.0,36.0437
35,0,1.5219,36.0437
35,1,-0.0,36.0437
35,2,-1.0,36.0437
35,3,-1.0,36.0437
35,4,-1.0,36.0437
35,5,-1.0,36.0437
35,6,-1.0,36.0437
35,7,-1.0,36.0437
35,8,-1.0,36.0437
35,9,-1.0,36.0437
35,10,-1.0,36.0437
36,0,2.0,1.3863
36,1,-0.0,36.0437
36,2,-0.0,36.0437
36,3,-0.0,36.0437
37,0,1.9938,1.3348
37,1,2.0,1.3863
37,2,1.8257,1.3216
37,3,1.5486,0.9556
37,4,0.8631,0.3365
37,5,-0.0,0.0
37,6,-0.0,0.0
38,0,2.0,1.3863
38,1,1.8257,1.0987
38,2,1.8113,0.9808
38,3,1.3789,0.5597
38,4,-0.0,0.0
39,0,1.9219,36.0437
39,1,-0.0,36.0437
39,2,-0.0,36.0437
39,3,-0.0,36.0437
39,4,-0.0,36.0437
39,5,-0.0,36.0437
39,6,-0.0,36.0437
39,7,-1.0,36.0437
40,0,0.9183,36.0437
40,1,-0.0,36.0437
40,2,-1.0,36.0437
40,3,-1.0,36.0437
40,4,-1.0,36.0437
40,5,-1.0,36.0437
40,6,-1.0,36.0437
40,7,-1.0,36.0437
41,0,1.0,36.0437
41,1,-0.0,36.0437
41,2,-0.0,36.0437
42,0,2.0,1.3863
42,1,2.0,1.3863
42,2,0.9911,0.5877
42,3,1.0,0.6931
42,4,1.0,0.6931
43,0,1.8232,1.1632
43,1,2.0,1.3863
43,2,1.9938,1.3348
43,3,1.9852,1.2528
43,4,1.5849,1.0987
43,5,1.5774,1.0297
43,6,1.5774,1.2528
43,7,1.4834,0.8754
43,8,0.6501,0.1824
43,9,-0.0,0.0
44,0,-1.0,36.0437
44,1,-1.0,36.0437
44,2,-1.0,36.0437
44,3,-1.0,36.0437
44,4,-1.0,36.0437
44,5,-1.0,36.0437
44,6,-1.0,36.0437
45,0,0.8113,36.0437
45,1,1.0,36.0437
45,2,0.9183,36.0437
45,3,0.9852,36.0437
45,4,1.0,36.0437
45,5,0.971,36.0437
45,6,0.9183,36.0437
45,7,1.0,36.0437
45,8,1.0,36.0437
45,9,1.0,36.0437
45,10,0.9183,36.0437
45,11,0.8631,36.0437
45,12,0.7219,36.0437
45,13,0.8631,36.0437
45,14,0.9852,36.0437
45,15,0.9544,36.0437
45,16,-1.0,36.0437
46,0,1.9938,1.3348
46,1,-0.0,0.0
46,2,-1.0,36.0437
46,3,-1.0,36.0437
46,4,-1.0,36.0437
46,5,-1.0,36.0437
46,6,-1.0,36.0437
47,0,1.4834,0.8754
47,1,1.0,36.0437
47,2,0.9852,36.0437
47,3,1.0,36.0437
47,4,0.9544,36.0437
47,5,1.0,36.0437
47,6,0.9911,36.0437
48,0,-1.0,36.0437
48,1,-1.0,36.0437
48,2,-1.0,36.0437
48,3,-1.0,36.0437
48,4,-1.0,36.0437
48,5,-1.0,36.0437
49,0,2.0,1.3863
49,1,1.921,1.2238
49,2,2.0,1.3863
49,3,-0.0,0.0
50,0,2.0,1.3863
50,1,2.0,1.3863
50,2,2.0,1.3863
50,3,2.0,1.3863
50,4,1.6767,2.398
50,5,1.9242,1.9456
50,6,1.0,0.6931
51,0,-1.0,36.0437
51,1,-1.0,36.0437
51,2,-1.0,36.0437
51,3,-1.0,36.0437
51,4,-1.0,36.0437
51,5,-1.0,36.0437
51,6,-1.0,36.0437
52,0,1.5,1.3863
52,1,1.5849,1.0987
52,2,1.5774,1.0297
52,3,1.5546,1.0987
52,4,1.5774,1.0297
52,5,0.8631,0.3365
53,0,0.9183,0.4054
53,1,-1.0,36.0437
53,2,-1.0,36.0437
53,3,-1.0,36.0437
53,4,-1.0,36.0437
54,0,2.0,1.3863
54,1,1.2517,1.7916
54,2,1.4489,1.9456
54,3,-0.0,0.0
54,4,-0.0,0.0
54,5,-1.0,36.0437
54,6,-1.0,36.0437
54,7,-1.0,36.0437
54,8,-1.0,36.0437
54,9,-1.0,36.0437
54,10,-1.0,36.0437
54,11,-1.0,36.0437
54,12,-1.0,36.0437
55,0,2.0,1.3863
55,1,-1.0,36.0437
55,2,-1.0,36.0437
55,3,-1.0,36.0437
55,4,-1.0,36.0437
55,5,-1.0,36.0437
55,6,-1.0,36.0437
55,7,-1.0,36.0437
55,8,-1.0,36.0437
55,9,-1.0,36.0437
55,10,-1.0,36.0437
55,11,-1.0,36.0437
56,0,-0.0,36.0437
56,1,-1.0,36.0437
56,2,-1.0,36.0437
56,3,-1.0,36.0437
56,4,-1.0,36.0437
56,5,-1.0,36.0437
57,0,2.0,36.0437
57,1,-0.0,36.0437
57,2,-0.0,36.0437
57,3,-1.0,36.0437
57,4,-1.0,36.0437
57,5,-1.0,36.0437
57,6,-1.0,36.0437
57,7,-1.0,36.0437
57,8,-1.0,36.0437
57,9,-1.0,36.0437
57,10,-1.0,36.0437
58,0,1.0,36.0437
58,1,0.9183,36.0437
58,2,0.9544,36.0437
58,3,0.9544,36.0437
58,4,-0.0,36.0437
58,5,-0.0,36.0437
58,6,-0.0,36.0437
59,0,1.5219,36.0437
59,1,-0.0,36.0437
59,2,-1.0,36.0437
59,3,-1.0,36.0437
60,0,2.0,1.3863
60,1,-0.0,36.0437
60,2,-1.0,36.0437
60,3,-1.0,36.0437
60,4,-1.0,36.0437
60,5,-1.0,36.0437
60,6,-1.0,36.0437
61,0,2.0,1.3863
61,1,-0.0,0.0
61,2,-0.0,0.0
61,3,-0.0,0.0
61,4,-0.0,0.0
61,5,-0.0,0.0
61,6,-0.0,0.0
61,7,-0.0,0.0
61,8,-0.0,0.0
61,9,-0.0,0.0
61,10,-0.0,0.0
61,11,-0.0,0.0
61,12,-0.0,0.0
61,13,-0.0,0.0
61,14,-0.0,0.0
61,15,-0.0,0.0
62,0,2.0,1.3863
62,1,0.971,36.0437
62,2,1.0,36.0437
62,3,-0.0,36.0437
62,4,-1.0,36.0437
62,5,-1.0,36.0437
62,6,-1.0,36.0437
62,7,-1.0,36.0437
62,8,-1.0,36.0437
63,0,1.5849,1.0987
63,1,1.0,0.6931
63,2,0.9544,0.47
63,3,0.9911,0.5877
63,4,-0.0,0.0
63,5,-0.0,0.0
63,6,-0.0,0.0
64,0,1.9714,1.2238
64,1,2.0,1.3863
64,2,1.5849,1.0987
64,3,1.5849,1.0987
64,4,1.361,0.6931
64,5,0.6501,0.1824
65,0,2.0,1.3863
65,1,1.5849,1.0987
