distance,mean,std
0,0.2713448138648749,2.043325
1,0.5308987047831669,1.6531556818181814
2,0.7013444788375165,0.9932863636363636
3,0.7630063737882683,0.7232223529411765
4,0.8733997483869426,0.6081285714285714
5,0.9146708730583376,0.6024369230769231
6,1.0195956715554189,0.5408
7,1.2733926587158748,0.8791718749999999
8,1.106045732898961,0.573944
9,1.1594292107202062,0.6205058823529412
10,1.3587324409735149,1.0
11,1.3093073414159542,1.0
12,1.3564659966250538,1.4
13,0.7784774256343098,2.4495333333333336
14,1.17495,1.82505
15,0.0,3.0
16,0.0,3.0
