distance,mean,std
0,0.8669683943884825,0.9927170454545456
1,0.7098367007008949,1.7495375000000002
2,0.7108160763731549,1.8292988636363636
3,0.6599996092375902,1.946029411764706
4,0.5353016967884412,2.0955415584415586
5,0.5180740303408475,2.1117569230769226
6,0.5331718924163295,2.144349090909091
7,0.6159181801177892,2.0004093750000003
8,0.5503533838689465,1.938208
9,0.5843478642941978,1.9694764705882353
10,0.30567657328559106,2.0808846153846154
11,0.3380639487868941,2.1879285714285714
12,0.2732211953710766,2.22778
13,0.2583946894879142,2.0977333333333337
14,0.014499999999999957,1.9733
15,0.1943999999999999,2.1944
16,0.0,2.5032
