distance,mean,std
0,0.3215898625083355,2.179585227272727
1,0.38660034874204263,2.169003409090909
2,0.6355973065744864,2.0112465909090904
3,0.6981739989013259,1.8426141176470583
4,0.7066801751937056,1.6828545454545452
5,0.8008069047754862,1.5717815384615383
6,0.9680861277167885,1.3209363636363636
7,0.8930146853178615,1.5068156250000002
8,0.9141198475823615,1.348916
9,0.7178578337532918,1.6778411764705883
10,0.9726483390616004,1.5836076923076923
11,0.6779383702649903,1.6355571428571427
12,0.9850571670720435,1.45014
13,1.0047970021629025,1.3360333333333332
14,0.009650000000000047,1.83285
15,0.29245,1.29245
16,0.0,0.0
