distance,mean,std
0,0.8603086661377802,1.0477852272727273
1,0.7075818425261318,1.7812102272727268
2,0.6744047384919248,1.8884420454545454
3,0.6404068428579123,2.0083482352941178
4,0.521450474201561,2.130522077922078
5,0.4926354238560904,2.1479707692307692
6,0.4960081531587964,2.1565
7,0.44799642130921025,2.0751656250000003
8,0.5512095577690939,1.978132
9,0.615415473185943,1.9958352941176472
10,0.34323861039900366,2.139869230769231
11,0.24220557889730704,2.2988428571428576
12,0.3036392293495687,2.2305800000000002
13,0.24349678072250205,2.127866666666667
14,0.0422499999999999,2.2276499999999997
15,0.18520000000000003,2.1852
16,0.0,2.4882
