distance,mean,std
0,0.2698558412701825,0.07990967741935483
1,0.5595576158350575,0.31214852941176474
2,0.745259697444993,0.6412944444444444
3,0.8283972131273787,0.9053424657534247
4,0.8127766275879911,1.087055223880597
5,0.8306572105947674,1.2560327586206896
6,0.8227394418186113,1.471174
7,0.7558535383202231,1.2805586206896553
8,0.6989226961001961,1.4948818181818182
9,0.5951547629165226,1.5630866666666667
10,0.594015415765169,1.56215
11,0.6880600258456138,1.3222500000000001
12,0.7403229716819545,1.43246
13,0.8564736436237965,1.1828666666666667
14,0.7887,0.7887
15,0.0,2.0
16,0.0,2.0
