distance,std,mean
0,0.2521571780725514,2.0521931818181818
1,0.5274183301265821,1.6552568181818181
2,0.7417830595622363,0.9876931818181819
3,0.8992865782843381,0.7823000000000001
4,1.0523384221377505,0.6930779220779222
5,1.1101113466771257,0.7276630769230769
6,1.3491756018086387,1.1397145454545454
7,1.4230166921757936,1.32760625
8,1.4399091474895214,1.417124
9,1.4099865656922146,1.1381529411764704
10,1.42123927820658,1.2575846153846155
11,1.3552618543578767,1.8571428571428572
12,0.8,2.6
13,0.9428090415820634,2.3333333333333335
14,1.5,1.5
15,1.5,1.5
16,0.0,3.0
