distance,mean,std
0,0.5899263620832562,0.36414318181818184
1,0.787798666090622,1.0478988636363638
2,0.7676273997016569,1.23245
3,0.7736489398646088,1.4465858823529412
4,0.7597099900552261,1.5466662337662336
5,0.7834732937390827,1.5734276923076924
6,0.7441105104321113,1.722809090909091
7,0.802713509369937,1.5311499999999998
8,0.8569925085880273,1.523932
9,0.7950704053610402,1.4892411764705882
10,0.7910745278664035,1.6170461538461538
11,0.842820551021681,1.2231857142857143
12,0.8,1.4
13,0.8046457895662331,0.9903000000000001
14,0.014500000000000013,0.9855
15,0.0,2.1809
16,0.0,2.4663
