distance,mean,std
0,0.6398164714649034,0.5272011363636364
1,0.8311319901497966,1.1357079545454545
2,0.8048960455687818,1.2744693181818183
3,0.8039063941136965,1.4808482352941177
4,0.7694348911607383,1.6195090909090908
5,0.8058020371893221,1.61808
6,0.7898457340874852,1.7539127272727268
7,0.795609081537535,1.546475
8,0.8485564663261956,1.5227159999999997
9,0.8524461989334721,1.436170588235294
10,0.8754226182774328,1.5302692307692307
11,0.8634468656471679,1.2312142857142858
12,0.8807275615080977,1.28488
13,0.8575387921254641,0.8127
14,0.6365,0.6365
15,0.1128499999999999,2.11285
16,0.0,2.5032
