distance,std,mean
0,0.6654991054282814,0.4293
1,0.6901924237506543,0.577776404494382
2,0.7564468768110504,0.7538314606741574
3,0.8059232711244709,0.9388674418604651
4,0.753080830311228,1.1678615384615385
5,0.7532379329818967,1.322303076923077
6,0.7788540904017498,1.4284690909090911
7,0.7401847200825954,1.2544875
8,0.7180241580782641,1.419704
9,0.7278757182215043,1.3157
10,0.8241931953817682,1.3416769230769232
11,0.8064957469174394,1.1618142857142857
12,0.7392841835180839,1.4266999999999999
13,0.8564736436237965,1.1828666666666667
14,0.6743,0.6743
15,0.0,2.0
16,0.0,2.0
