distance,mean,std
0,1.3513998760697452,0.9426636363636363
1,1.2291127092517444,0.9230238636363637
2,1.1322786350982694,1.0701500000000002
3,1.0589320374008475,1.2010588235294117
4,0.9941501379445524,1.3354896103896103
5,0.9528636142670591,1.4438446153846154
6,0.8991828714178444,1.610158181818182
7,0.8768916858489065,1.44175625
8,0.8179841008137015,1.6754959999999999
9,0.7258569490740109,1.732135294117647
10,0.68739377653836,1.6727538461538463
11,0.866296215776906,1.5619285714285716
12,0.7403229716819545,1.43246
13,0.8564736436237965,1.1828666666666667
14,0.7887,0.7887
15,0.0,2.0
16,0.0,2.0
