distance,std,mean
0,0.2452002669507079,0.07168333333333334
1,0.5674849974708834,0.3906155844155844
2,0.7317690380753502,0.6704151898734177
3,0.8071884102821039,0.9183824999999999
4,0.80530400864916,1.080009589041096
5,0.8096250692744359,1.2801360655737706
6,0.8113114376867395,1.446822641509434
7,0.7564459929315657,1.2931666666666668
8,0.6603973278881572,1.52395
9,0.685342614790907,1.4870687500000002
10,0.6947853180838324,1.4870846153846153
11,0.6897106293382916,1.3416333333333332
12,0.7392841835180839,1.4266999999999999
13,0.85904455452943,1.1887999999999999
14,0.7832,0.7832
15,0.0,2.0
16,0.0,2.0
