distance,std,mean
0,0.6553226343551247,0.20478863636363637
1,1.0131664908986868,0.7167886363636363
2,0.9894374067833441,0.9086681818181817
3,0.923646590425979,1.0408305882352942
4,0.8923994872461776,1.1797493506493506
5,0.8865549521389693,1.3859738461538462
6,0.8478343175389246,1.503301818181818
7,0.8409205569409857,1.39984375
8,0.7834940251361205,1.7010759999999998
9,0.7541816054826866,1.5760647058823531
10,0.6947853180838324,1.4870846153846153
11,0.8628442714271758,1.578542857142857
12,0.7392841835180839,1.4266999999999999
13,0.85904455452943,1.1887999999999999
14,0.7832,0.7832
15,0.0,2.0
16,0.0,2.0
