distance,std,mean
0,0.2521571780725514,2.0521931818181818
1,0.5102382661814596,1.6398
2,0.6831374678484313,0.9408953488372093
3,0.6326977491998353,0.5832756410256411
4,0.5071229355250433,0.30859090909090914
5,0.4661466048118774,0.2647796296296296
6,0.4507958019084267,0.23471081081081083
7,0.4329725896399233,0.18333684210526316
8,0.43246390040448607,0.17343571428571428
9,0.3876952411366433,0.1226
10,0.4460075272627134,0.168575
11,0.4714045207910317,0.3333333333333333
12,0.0,1.0
13,0.0,1.0
14,0.0,0.0
15,0.0,0.0
16,nan,nan
