distance,mean,std
0,0.32477023802842414,2.1823897727272725
1,0.3688537806317186,2.2120602272727274
2,0.593391047581566,2.051760227272727
3,0.6707987170870817,1.9024211764705883
4,0.6978320651962452,1.822609090909091
5,0.7500470659093935,1.6906123076923076
6,0.9820660399500334,1.4195563636363635
7,0.9182228943247437,1.565759375
8,0.8918890374570146,1.5095919999999998
9,0.7701821856550215,1.8807823529411765
10,0.901162934456289,1.6303307692307694
11,0.6438564455287993,1.788342857142857
12,0.8866020956438124,1.6469999999999998
13,0.9145069637059452,1.4553
14,0.2441500000000001,1.92385
15,0.16405000000000003,1.44015
16,0.0,0.5307
