distance,mean,std
0,0.3215898625083355,2.179585227272727
1,0.5005652437175151,1.8783204545454544
2,0.6236542262839055,1.615338636363636
3,0.7381265834051852,1.3445799999999999
4,0.7485862212842126,1.088090909090909
5,0.7297252872191704,0.8773107692307692
6,0.6636570893002743,0.5346981818181817
7,0.6597780842592076,0.5900125
8,0.6459960124458974,0.441652
9,0.5678789192428393,0.4196882352941177
10,0.5885466828296821,0.36774615384615383
11,0.4919430882132773,0.42602857142857137
12,0.48772602309083324,0.39821999999999996
13,0.4714045207910317,0.3333333333333333
14,0.5,0.5
15,0.0,0.0
16,0.0,0.0
