distance,std,mean
0,0.8187929746856166,0.7443382022471912
1,0.6800209998019882,1.0489269662921348
2,0.6517516093771587,1.3445966292134832
3,0.6782569672273794,1.4937965116279068
4,0.5584210304305822,1.589524358974359
5,0.5788623776106181,1.7272615384615384
6,0.5729057462929981,1.7379309090909094
7,0.5331605266225525,1.64163125
8,0.462086188566592,1.7063559999999998
9,0.4834915280708267,1.6550588235294117
10,0.37758770257530194,1.8733615384615385
11,0.5172027964474488,1.5925857142857143
12,0.7830223455304454,1.55728
13,0.720972890536731,1.1708666666666667
14,0.1805,1.1804999999999999
15,0.0,2.0
16,0.0,2.0
