distance,std,mean
0,0.32365995156871574,2.0038955056179777
1,0.4765935896052544,1.8460561797752806
2,0.5407333865094227,1.586576404494382
3,0.6385015005066706,1.234932558139535
4,0.6571008336249655,1.1475782051282053
5,0.6880678085030755,1.147736923076923
6,0.8157470097933407,0.9601036363636363
7,0.7292050584945118,1.033521875
8,0.8289637274187575,0.9746680000000001
9,0.8031971473484268,0.9961882352941176
10,0.7072107934629763,0.8816230769230768
11,0.8617740818586188,1.1593571428571428
12,0.7616949951260018,1.28742
13,0.36384238651127804,1.1956333333333333
14,0.08860000000000001,1.7578
15,0.03925000000000001,1.80025
16,0.0,0.0
