distance,mean,std
0,0.32477023802842414,2.1823897727272725
1,0.48411242166775326,1.926802272727273
2,0.6035784140233977,1.7214249999999998
3,0.6438532684674848,1.5096211764705882
4,0.711977172777031,1.3274376623376622
5,0.7163881434037469,1.1679246153846152
6,0.7507396836949409,0.7788527272727273
7,0.7663148054773247,0.7770874999999999
8,0.7518534080949557,0.7174440000000001
9,0.6494484482925641,0.789935294117647
10,0.5868526318244556,0.48859230769230766
11,0.47999594258489225,0.5519714285714287
12,0.47518533479054254,0.38766
13,0.4714045207910317,0.3333333333333333
14,0.5,0.5
15,0.13805,0.13805
16,0.0,0.0
