distance,mean,std
0,0.8642935469799827,0.9233681818181818
1,0.7249150521612504,1.689185227272727
2,0.7103512186601882,1.7903715909090907
3,0.6331985016168524,1.951511764705882
4,0.5675835095029983,2.0866000000000002
5,0.5088663280517312,2.0808046153846154
6,0.4994677881753671,2.1181145454545454
7,0.59577051895004,1.9620499999999998
8,0.6807659609586837,1.87344
9,0.4440591851665675,2.018264705882353
10,0.41255613424760207,2.1032384615384614
11,0.2769694074316895,2.2100142857142857
12,0.26166036459502223,2.2421599999999997
13,0.21497609169393694,1.9364999999999999
14,0.15045000000000008,2.05605
15,0.11840000000000006,2.2992999999999997
16,0.0,2.4663
