distance,mean,std
0,0.2713448138648749,2.043325
1,0.5138122357568212,1.6376747126436781
2,0.6713566043070185,0.9702206896551724
3,0.6378804259097269,0.6399256097560976
4,0.5504234112827661,0.40599859154929574
5,0.526954594626019,0.3586169491525424
6,0.4249836567119049,0.18216666666666667
7,0.4036911107509126,0.17222916666666666
8,0.34887977254580116,0.11183809523809525
9,0.39882547894168097,0.1106142857142857
10,0.31426968052735443,0.1111111111111111
11,0.4,0.2
12,0.4714045207910317,0.3333333333333333
13,0.0,1.3486
14,0.0,0.6501
15,nan,nan
16,nan,nan
