distance,std,mean
0,0.32083881395072184,2.0110865168539327
1,0.45830300452767725,1.7067393258426966
2,0.5391043070731396,1.3968191011235955
3,0.6187740839394544,1.0677046511627906
4,0.6367609935442091,0.8592692307692309
5,0.6258109173841248,0.6238446153846156
6,0.559073702369367,0.40845090909090903
7,0.4575782103572568,0.3220375
8,0.3075514784617366,0.113464
9,0.32218973970892123,0.11764705882352941
10,0.35104317204448404,0.14965384615384617
11,0.42241892495870176,0.26615714285714287
12,0.4,0.2
13,0.4714045207910317,0.3333333333333333
14,0.49555,0.49555
15,0.4772,0.4772
16,0.0,0.0
