distance,mean,std
0,0.2595521196946425,0.07340123456790124
1,0.5723955656145198,0.37824805194805194
2,0.728180277542975,0.68715
3,0.8186924440644816,0.9000025316455696
4,0.8117941907566345,1.0667180555555555
5,0.8193145526728095,1.2497868852459018
6,0.8094710211027801,1.4599942307692308
7,0.74515454302372,1.2907033333333333
8,0.6923891929255909,1.471382608695652
9,0.5549265398430879,1.6056933333333336
10,0.6947853180838324,1.4870846153846153
11,0.6880600258456138,1.3222500000000001
12,0.7403229716819545,1.43246
13,0.8564736436237965,1.1828666666666667
14,0.7887,0.7887
15,0.0,2.0
16,0.0,2.0
