distance,mean,std
0,0.31675579667957715,2.1752875
1,0.3815889574845865,2.1820659090909094
2,0.5947210186026024,2.0412556818181815
3,0.6823039020309378,1.8705470588235287
4,0.714772642609078,1.7160051948051946
5,0.7766360197337804,1.5977153846153844
6,0.9772415552305488,1.3778981818181821
7,0.906155949753373,1.54751875
8,1.0136656410789506,1.425536
9,0.7864356272752087,1.7463941176470588
10,0.9490706943322171,1.6337153846153845
11,0.7114829457132591,1.7821714285714287
12,0.7702120580723207,1.43814
13,1.0875225739674965,1.4105333333333334
14,0.1814,1.6418
15,0.30510000000000004,1.6537000000000002
16,0.0,0.4395
