distance,std,mean
0,0.3157923795525647,2.1783727272727273
1,0.5009642226919557,1.889059090909091
2,0.6047139223645909,1.673797674418605
3,0.6809451608220327,1.4644827160493827
4,0.7716937622397094,1.2546753424657535
5,0.7622688349700955,0.9983299999999998
6,0.7630723267806515,0.72536875
7,0.7960506496106653,0.8163692307692307
8,0.7174963912193164,0.7216736842105265
9,0.6278608162171105,0.6449214285714285
10,0.5974374853395866,0.6762666666666666
11,0.46984400985859126,0.57222
12,0.4682830894608516,0.465775
13,0.4714045207910317,0.3333333333333333
14,0.5,0.5
15,0.0,0.0
16,0.0,0.0
