distance,std,mean
0,0.25347155451203107,0.07795384615384615
1,0.5562518615258342,0.2982420289855073
2,0.7408538366715395,0.6449301369863014
3,0.8144076313220275,0.9081066666666667
4,0.7907920476411335,1.1225058823529412
5,0.8163430497135966,1.293503448275862
6,0.8163603969171632,1.4642862745098042
7,0.7406009713832243,1.329739285714286
8,0.6653782425234407,1.5493238095238095
9,0.7620117129185089,1.433125
10,0.594015415765169,1.56215
11,0.6897106293382916,1.3416333333333332
12,0.7392841835180839,1.4266999999999999
13,0.85904455452943,1.1887999999999999
14,0.7832,0.7832
15,0.0,2.0
16,0.0,2.0
